Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,Strap,3024,4032,37.529819,126.932691,1,0,0,0,0
2,Plasticbag1,3024,4032,38.1910598,128.6021381,0,1,0,0,0
3,Plasticbag2,3024,4032,38.1910598,128.6021381,0,1,0,0,0
4,Beverage1,3024,4032,37.511277,127.098175,0,1,0,0,0
5,WaterBottle1,3024,4032,37.511277,127.098175,0,1,0,0,0
6,LiptonIceTea,3024,4032,37.511277,127.098175,0,1,0,0,0
7,Squidtrash,3024,4032,37.511277,127.098175,0,0,0,0,1
8,Beverage2,3024,4032,37.511277,127.098175,0,1,0,0,0
9,WaterBottle2,3024,4032,37.511277,127.098175,0,1,0,0,0
10,WaterBottle3,3024,4032,37.511277,127.098175,0,1,0,0,0
11,ToiletPaperRoll1,3024,4032,37.511277,127.098175,0,0,0,0,1
12,BambooSkewers,3024,4032,37.511277,127.098175,1,0,0,0,0
13,PaperNapkin,3024,4032,37.511277,127.098175,1,0,0,0,0
14,Beverage3,3024,4032,37.511277,127.098175,0,1,0,0,0
15,WaterBottle4,3024,4032,37.511277,127.098175,0,1,0,0,0
16,BambooSkewers2,3024,4032,37.511277,127.098175,1,0,0,0,0
17,Sticker,3024,4032,37.511277,127.098175,1,0,0,0,0
18,PaperCupHolder,3024,4032,37.511277,127.098175,0,0,0,0,1
19,PaperStraw,3024,4032,37.511277,127.098175,1,0,0,0,0
20,PlasticCupCover1,3024,4032,37.511277,127.098175,0,1,0,0,0
21,PlasticCupCover2,3024,4032,37.511277,127.098175,0,1,0,0,0
22,Churrospaper,3024,4032,37.511277,127.098175,1,0,0,0,0
23,Detergentbottle,3024,4032,35.1609274,129.1405595,0,1,0,0,0
24,WaterBottle5,3024,4032,35.1609274,129.1405595,0,1,0,0,0
25,PlasticSpoon,3024,4032,35.1609274,129.1405595,0,1,0,0,0
26,PocariSweat,3024,4032,35.1609274,129.1405595,0,1,0,0,0
27,Medicinebottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
28,CerealBottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
29,ToningLotionBottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
30,JuiceBottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
31,HairbandCase,3024,4032,37.4976537,127.0467951,0,1,0,0,0
32,PencilcaseWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
33,FoodPlasticCase,3024,4032,37.4976537,127.0467951,0,1,0,0,0
34,LemonCandy,3024,4032,37.4976537,127.0467951,0,0,1,0,0
35,EssenceCreamFoam,3024,4032,37.4976537,127.0467951,0,1,0,0,0
36,TinCan,3024,4032,37.4976537,127.0467951,0,0,1,0,0
37,Spounge,3024,4032,37.4976537,127.0467951,0,1,0,0,0
38,RubberBand,3024,4032,37.4976537,127.0467951,1,0,0,0,0
39,Vita500Wrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
40,MaskWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
41,PaperCup,3024,4032,37.4976537,127.0467951,0,0,0,0,1
42,HariboWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
43,RamenWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
44,CorrectionTapeWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
45,BubbleWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
46,VegetablePlasticBag,3024,4032,37.4976537,127.0467951,0,1,0,0,0
47,SeaweedWrapper1,3024,4032,37.4976537,127.0467951,0,1,0,0,0
48,RamenWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
49,RamenSauce,3024,4032,37.4976537,127.0467951,0,1,0,0,0
50,Cotton,3024,4032,37.4976537,127.0467951,1,0,0,0,0
51,AlcoholBottle,3024,4032,37.4976537,127.0467951,0,0,0,1,0
52,SodaCan,3024,4032,37.4976537,127.0467951,0,0,1,0,0
53,KitchenTowelRoll,3024,4032,37.4976537,127.0467951,0,0,0,0,1
54,ToothPasteWrapper,3024,4032,37.4976537,127.0467951,0,0,0,0,1
55,InstantRiceWrapper,3024,4032,37.4976537,127.0467951,0,0,0,0,1
56,TeaBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
57,FacialMaskBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
58,ZipperBagBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
59,PlasticBagBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
60,ClotheTag,3024,4032,37.4976537,127.0467951,0,0,0,0,1
61,ArtificialTears,3024,4032,37.4976537,127.0467951,0,1,0,0,0
62,WaterTissue1,3024,4032,37.4976537,127.0467951,0,1,0,0,0
63,SoybeanMilkBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
64,KetchupSauce1,3024,4032,37.4976537,127.0467951,0,1,0,0,0
65,Mesh,3024,4032,37.4976537,127.0467951,0,1,0,0,0
66,CrispBox,3024,4032,37.4976537,127.0467951,0,1,0,0,0
67,PaperCup,3024,4032,37.4976537,127.0467951,0,0,0,0,1
68,EyebrowRazor,3024,4032,37.4976537,127.0467951,0,0,0,0,1
69,WaterTissue2,3024,4032,37.4976537,127.0467951,0,1,0,0,0
70,SeaweedWrapper2,3024,4032,37.4976537,127.0467951,0,1,0,0,0
71,CrispWrapper,3024,4032,37.4976537,127.0467951,0,1,0,0,0
72,PlasticCupCover3,3024,4032,37.4976537,127.0467951,0,1,0,0,0
73,CoolerBag,3024,4032,37.4976537,127.0467951,1,0,0,0,0
74,A4Paper,3024,4032,37.4976537,127.0467951,0,0,0,0,1
75,ContactLens,3024,4032,37.4976537,127.0467951,0,1,0,0,0
76,ToiletPaperRoll2,3024,4032,37.4976537,127.0467951,0,0,0,0,1
77,PlasticStraw,3024,4032,37.4976537,127.0467951,0,1,0,0,0
78,AppleJuicePackage,3024,4032,37.4976537,127.0467951,0,0,0,0,1
79,HairTreatment,3024,4032,37.4976537,127.0467951,0,1,0,0,0
80,KetchupSauce2,3024,4032,37.4976537,127.0467951,0,1,0,0,0
81,PrintFliers,3024,4032,37.4976537,127.0467951,0,0,0,0,1
82,Loofah,3024,4032,37.4976537,127.0467951,0,1,0,0,0
83,AdPaper,3024,4032,35.1609274,129.1405595,1,0,0,0,0
84,Plasticbox,3024,4032,35.1609274,129.1405595,0,1,0,0,0
85,Styrofoam1,3024,4032,35.1609274,129.1405595,0,1,0,0,0
86,Styrofoam2,3024,4032,35.1609274,129.1405595,0,1,0,0,0
87,Log,3024,4032,35.1609274,129.1405595,1,0,0,0,0
88,Rope,3024,4032,35.1609274,129.1405595,1,0,0,0,0
89,PlasticBag,3024,4032,35.1609274,129.1405595,1,0,0,0,0
90,Shampoobottle,3024,4032,35.1609274,129.1405595,1,0,0,0,0
91,CrackerWrapper,3024,4032,35.1609274,129.1405595,1,0,0,0,0
92,RubberCover,3024,4032,37.4976537,127.0467951,1,0,0,0,0
93,ClothesRack,3024,4032,37.4976537,127.0467951,1,0,0,0,0
94,BottleCap,3024,4032,37.4976537,127.0467951,0,1,0,0,0
95,GlassBottle,3024,4032,37.4976537,127.0467951,0,0,0,1,0
96,PlasticDoorknob,3024,4032,37.4976537,127.0467951,0,1,0,0,0
97,YogurtContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
98,PlasticCover,3024,4032,37.4976537,127.0467951,0,1,0,0,0
99,WaterBottle,3024,4032,37.4976537,127.0467951,0,1,0,0,0
100,CookieBox,3024,4032,37.4976537,127.0467951,0,0,0,0,1
101,String,3024,4032,37.4976537,127.0467951,1,0,0,0,0
102,BeverageContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
103,PlasticContainer,3024,4032,37.4976537,127.0467951,0,1,0,0,0
104,AluminumCover,3024,4032,37.4976537,127.0467951,0,0,1,0,0
